Test Case ID	Run Time	Precision	Recall	F-measure	Notes
101	11998	0.97	1.0	0.985	-
201	9334	0.885	0.711	0.789	-
201-2	7805	0.947	0.918	0.932	-
201-4	9050	0.944	0.866	0.903	-
201-6	9577	0.942	0.835	0.885	-
201-8	8929	0.926	0.773	0.843	-
202	7143	0.0	0.0	0.0	-
202-2	6933	0.963	0.794	0.87	-
202-4	6875	0.951	0.598	0.734	-
202-6	7081	0.929	0.402	0.561	-
202-8	6916	0.87	0.206	0.333	-
221	7309	0.97	1.0	0.985	-
222	7122	0.98	1.0	0.99	-
223	7488	0.97	1.0	0.985	-
224	6837	0.97	1.0	0.985	-
225	7083	0.97	1.0	0.985	-
228	5283	0.917	1.0	0.957	-
232	7898	0.97	1.0	0.985	-
233	4370	0.917	1.0	0.957	-
236	3796	0.917	1.0	0.957	-
237	6132	0.98	1.0	0.99	-
238	6522	0.97	1.0	0.985	-
239	4247	0.917	1.0	0.957	-
240	4223	0.917	1.0	0.957	-
241	3770	0.917	1.0	0.957	-
246	4037	0.917	1.0	0.957	-
247	3857	0.917	1.0	0.957	-
248	6937	0.0	0.0	0.0	-
248-2	6889	0.963	0.794	0.87	-
248-4	8127	0.951	0.598	0.734	-
248-6	7239	0.929	0.402	0.561	-
248-8	6764	0.87	0.206	0.333	-
249	5948	0.0	0.0	0.0	-
249-2	6054	0.963	0.794	0.87	-
249-4	5988	0.951	0.598	0.734	-
249-6	6064	0.929	0.402	0.561	-
249-8	5979	0.87	0.206	0.333	-
250	3802	0.0	0.0	0.0	-
250-2	4150	0.897	0.788	0.839	-
250-4	4173	0.87	0.606	0.714	-
250-6	4141	0.813	0.394	0.531	-
250-8	3891	0.7	0.212	0.325	-
251	6874	0.0	0.0	0.0	-
251-2	6875	0.974	0.792	0.874	-
251-4	6902	0.966	0.594	0.736	-
251-6	6676	0.95	0.396	0.559	-
251-8	7033	0.905	0.198	0.325	-
252	7178	0.0	0.0	0.0	-
252-2	7307	0.963	0.794	0.87	-
252-4	8125	0.951	0.598	0.734	-
252-6	7034	0.929	0.402	0.561	-
252-8	7186	0.87	0.206	0.333	-
253	6163	0.0	0.0	0.0	-
253-2	6086	0.963	0.794	0.87	-
253-4	6082	0.951	0.598	0.734	-
253-6	6005	0.929	0.402	0.561	-
253-8	5879	0.87	0.206	0.333	-
254	3835	0.0	0.0	0.0	-
254-2	4198	0.897	0.788	0.839	-
254-4	3975	0.87	0.606	0.714	-
254-6	4186	0.813	0.394	0.531	-
254-8	4091	0.7	0.212	0.325	-
257	3493	0.0	0.0	0.0	-
257-2	3990	0.897	0.788	0.839	-
257-4	3811	0.87	0.606	0.714	-
257-6	3615	0.813	0.394	0.531	-
257-8	3556	0.7	0.212	0.325	-
258	6896	0.0	0.0	0.0	-
258-2	5930	0.974	0.792	0.874	-
258-4	5848	0.966	0.594	0.736	-
258-6	6034	0.951	0.406	0.569	-
258-8	5970	0.905	0.198	0.325	-
259	6320	0.0	0.0	0.0	-
259-2	6072	0.963	0.794	0.87	-
259-4	6643	0.951	0.598	0.734	-
259-6	6404	0.929	0.402	0.561	-
259-8	6807	0.87	0.206	0.333	-
260	4037	0.0	0.0	0.0	-
260-2	4103	0.926	0.781	0.847	-
260-4	4019	0.905	0.594	0.717	-
260-6	4412	0.867	0.406	0.553	-
260-8	3918	0.778	0.219	0.342	-
261	4120	0.0	0.0	0.0	-
261-2	4390	0.897	0.788	0.839	-
261-4	4395	0.87	0.606	0.714	-
261-6	4056	0.813	0.394	0.531	-
261-8	4024	0.7	0.212	0.325	-
262	3759	0.0	0.0	0.0	-
262-2	3721	0.897	0.788	0.839	-
262-4	3652	0.87	0.606	0.714	-
262-6	3738	0.813	0.394	0.531	-
262-8	3648	0.7	0.212	0.325	-
265	3566	0.0	0.0	0.0	-
266	3666	0.0	0.0	0.0	-
Global	538064	0.926	0.531	0.675	-
