Test Case ID	Run Time	Precision	Recall	F-measure	Notes
101	5763858	0.568	0.998	0.724	-
201	4736608	0.322	0.571	0.412	-
201-2	4651867	0.534	0.946	0.683	-
201-4	4685200	0.481	0.853	0.615	-
201-6	4703080	0.441	0.783	0.564	-
201-8	4720793	0.386	0.686	0.494	-
202	4747718	0.32	0.567	0.409	-
202-2	4668419	0.532	0.943	0.68	-
202-4	4989312	0.496	0.879	0.634	-
202-6	4836518	0.441	0.783	0.564	-
202-8	4788530	0.38	0.673	0.486	-
221	4710673	0.563	0.997	0.72	-
222	4760059	0.552	0.999	0.711	-
223	4753036	0.563	0.997	0.72	-
